SA46,40.3106
SA89,0.9245
SA19,1.0553
SA06,34.1417
SA65,2.5767
SA101,3.8008
SA28,2.4863
SA43,2.2024
SA59,6.1233
SA34,3.5132
SA12,3.8161
SA80,485.1134
SA71,6.0798
SA95,1.3934
SA54,3.5388
SA62,1.4577
SA17,3.1872
SA83,3.5179
SA03,1.9701
SA14,1.6097
SA74,0
SA25,1.1331
SA40,2.4425
SA09,21.2542
SA104,1.8982
SA57,1.437
SA86,0
SA37,0
SA98,1.5523
SA31,0
SA49,1.7482
SA22,2.6606
SA77,3.2
SA52,0.9034
SA92,1.8102
SA68,3.1229
SA103,2.5792
SA26,9.5299
SA35,5.5363
SA39,1.2087
SA102,2.0146
SA96,0.982
SA79,4.1576
SA94,4.5153
SA16,1.4081
SA05,2.6997
SA29,11.9968
SA50,12.303
SA47,10.316
SA02,1.2211
SA64,1.2879
SA53,2.0542
SA58,42.9689
SA90,15.173
SA85,1.6678
SA93,1.4742
SA33,0
SA73,2.3804
SA72,3.3603
SA67,1.5295
SA08,1.3022
SA10,13.3757
SA51,0
SA04,13.1518
SA21,0
SA42,1.1386
SA60,2.8779
SA41,6.7934
SA32,7.8189
SA88,0
SA100,1.0544
SA01,10.6001
SA48,0
SA63,1.6179
SA23,10.1333
SA91,0.9144
SA87,1.5326
SA18,1.0023
SA07,131.1459
SA11,0
SA20,12.2919
SA24,0
SA78,0
SA84,1.2554
SA55,26.7921
SA44,8.5278
SA15,2.5196
SA61,0.9892
SA97,0
SA82,0.9222
SA38,11.7658
SA27,0
SA70,0
SA75,3.0189
SA66,1.8125
SA13,0
SA30,0
SA76,0.9415
SA36,0
SA56,0
SA99,2.7749
SA69,1.3028
SA45,0
SA81,4.3007
